d/t, 0.2m, 0.2025m, 0.205m, 0.2075m, 0.21m, 0.2125m, 0.215m, 0.2175m, 0.22m, 0.2225m, 0.225m, 0.2275m, 0.23m, 0.2325m, 0.235m, 0.2375m, 0.24m, 0.2425m, 0.245m, 0.2475m, 0.25m, 0.2525m, 0.255m, 0.2575m, 0.26m, 0.2625m, 0.265m, 0.2675m, 0.27m, 0.2725m, 0.275m, 0.2775m, 0.28m, 0.2825m, 0.285m, 0.2875m, 0.29m, 0.2925m, 0.295m, 0.2975m, 0.3m, 0.3025m, 0.305m, 0.3075m, 0.31m, 0.3125m, 0.315m, 0.3175m, 0.32m, 0.3225m, 0.325m, 0.3275m, 0.33m, 0.3325m, 0.335m, 0.3375m, 0.34m, 0.3425m, 0.345m, 0.3475m, 0.35m, 0.3525m, 0.355m, 0.3575m, 0.36m, 0.3625m, 0.365m, 0.3675m, 0.37m, 0.3725m, 0.375m, 0.3775m, 0.38m, 0.3825m, 0.385m, 0.3875m, 0.39m, 0.3925m, 0.395m, 0.3975m, 0.4m, 0.4025m, 0.405m, 0.4075m, 0.41m, 0.4125m, 0.415m, 0.4175m, 0.42m, 0.4225m, 0.425m, 0.4275m, 0.43m, 0.4325m, 0.435m, 0.4375m, 0.44m, 0.4425m, 0.445m, 0.4475m, 0.45m, 0.4525m, 0.455m, 0.4575m, 0.46m, 0.4625m, 0.465m, 0.4675m, 0.47m, 0.4725m, 0.475m, 0.4775m, 0.48m, 0.4825m, 0.485m, 0.4875m, 0.49m, 0.4925m, 0.495m, 0.4975m, 0.5m, 0.5025m, 0.505m, 0.5075m, 0.51m, 0.5125m, 0.515m, 0.5175m, 0.52m, 0.5225m, 0.525m, 0.5275m, 0.53m, 0.5325m, 0.535m, 0.5375m, 0.54m, 0.5425m, 0.545m, 0.5475m, 0.55m, 0.5525m, 0.555m, 0.5575m, 0.56m, 0.5625m, 0.565m, 0.5675m, 0.57m, 0.5725m, 0.575m, 0.5775m, 0.58m, 0.5825m, 0.585m, 0.5875m, 0.59m, 0.5925m, 0.595m, 0.5975m, 0.6m, 0.6025m, 0.605m, 0.6075m, 0.61m, 0.6125m, 0.615m, 0.6175m, 0.62m, 0.6225m, 0.625m, 0.6275m, 0.63m, 0.6325m, 0.635m, 0.6375m, 0.64m, 0.6425m, 0.645m, 0.6475m
1, 322.8885, 406.2733, 383.8815, 225.9425, 220.0091, 131.746, 163.233, 197.5677, 141.6616, 202.1806, 115.9741, 221.382, 142.2252, 174.1407, 198.4263, 119.2183, 139.9464, 41.1096, 170.4699, 138.7516, 147.7633, 161.4466, 184.3285, 192.72, 135.2997, 89.4986, 77.3369, 186.561, 125.2398, 174.3474, 176.4653, 162.2652, 168.5764, 75.2861, 106.4049, 100.2447, 178.2807, 171.3534, 130.1768, 33.7343, 222.2724, 177.1243, 104.3072, 192.0234, 154.9355, 98.5089, 127.5617, 163.6001, 143.2236, 132.246, 182.628, 44.1475, 178.2807, 171.9913, 105.8017, 134.5362, 155.6824, 150.5722, 170.0265, 89.8109, 116.211, 77.666, 159.6621, 63.1981, 179.8472, 116.7776, 92.7793, 111.5437, 66.2118, 44.7772, 138.7083, 153.701, 120.0708, 137.9021, 149.6262, 38.2753, 80.9197, 117.047, 206.9324, 124.3101, 87.6641, 157.0796, 59.9083, 49.3964, 76.3217, 146.1643, 72.1734, 123.4585, 82.0061, 121.4949, 156.205, 61.8466, 76.3217, 121.0, 95.2575, 19.799, 123.0163, 49.3964, 55.3173, 61.6847, 34.2053, 82.5651, 49.98, 35.2278, 7.2801, 57.1402, 94.5569, 45.6946, 92.1954, 122.3315, 77.4919, 64.405, 97.2471, 140.8119, 20.8087, 3.1623, 103.0, 51.9711, 151.3473, 146.2395, 73.5527, 40.8534, 71.2811, 139.8642, 75.0067, 140.0893, 90.9065, 100.6231, 135.2072, 95.0474, 123.0691, 219.9386, 124.4548, 156.2594, 125.2078, 118.0678, 166.2919, 108.7566, 138.7516, 60.8276, 139.6066, 130.1461, 197.6866, 111.1261, 12.3693, 107.3546, 110.2225, 89.3197, 137.2662, 105.3945, 141.778, 138.9748, 202.7141, 110.1454, 129.2826, 92.6553, 95.8019, 118.8486, 88.3912, 112.8051, 104.1201, 67.6757, 76.2168, 121.3342, 79.0759, 120.9339, 70.1142, 138.5135, 71.3092, 60.0083, 108.9082, 75.8024, 104.3072, 97.9847, 128.1913, 55.1725, 27.5136, 81.1542, 50.1597, 84.0238
2, 315.3918, 378.4402, 291.5682, 235.9831, 229.1724, 186.8689, 249.6177, 229.8978, 136.8576, 146.4923, 70.8308, 78.5175, 153.4699, 165.469, 81.0555, 110.0273, 83.7735, 152.2268, 134.2609, 115.6936, 109.3709, 101.5529, 124.2578, 166.4121, 105.5462, 80.0, 165.469, 93.0484, 159.8124, 110.0, 207.6463, 171.3038, 125.064, 228.3265, 195.7601, 78.2304, 103.5809, 109.6038, 159.9062, 67.6757, 140.5774, 134.3019, 169.2572, 188.502, 121.2023, 62.6498, 140.3567, 81.4923, 65.7343, 146.4923, 157.5436, 215.5203, 92.6553, 120.4201, 70.6045, 184.8053, 191.1675, 108.3744, 119.6328, 166.7153, 146.0308, 39.8121, 73.1095, 125.004, 89.6772, 154.69, 67.0075, 139.6281, 165.0606, 207.3282, 72.8354, 139.3162, 101.6514, 71.2531, 112.681, 108.6646, 81.5414, 148.1891, 137.1313, 84.2912, 57.0, 124.8239, 128.5496, 184.9378, 85.5862, 34.9285, 90.802, 131.0267, 59.0, 118.0042, 185.5398, 158.619, 42.9418, 86.3771, 100.6231, 103.7545, 102.2008, 40.8534, 161.1366, 41.8688, 54.1295, 11.4018, 22.3607, 29.0689, 135.0037, 65.5134, 88.278, 44.1022, 102.9563, 20.1246, 113.0044, 81.8413, 18.6011, 94.0851, 49.163, 54.5894, 52.0384, 152.5418, 35.6931, 46.6154, 64.7765, 73.1642, 73.1642, 106.2121, 106.3297, 74.0608, 118.6634, 131.244, 146.9864, 100.3444, 135.4843, 107.3359, 162.7882, 112.0045, 145.2446, 190.1289, 6.7082, 158.8081, 78.4347, 100.1299, 114.7911, 59.5483, 123.0041, 151.1192, 219.4767, 128.5613, 167.2872, 82.0244, 126.1507, 81.0, 102.7862, 54.4518, 119.9208, 116.297, 97.2934, 58.8303, 141.4214, 132.28, 44.0114, 77.666, 139.9035, 121.0496, 64.405, 58.6686, 54.231, 111.7587, 20.8087, 93.6216, 82.134, 145.7738, 81.3449, 56.2228, 101.5135, 43.4166, 82.5651, 118.0889, 78.6384, 72.1388, 99.6092, 22.0227
3, 423.7322, 401.6479, 301.0913, 230.0826, 188.3534, 171.1432, 231.5729, 180.6239, 143.1258, 20.0998, 105.0048, 115.3516, 103.8316, 164.7938, 99.0202, 138.9244, 98.7168, 127.914, 144.7791, 109.2932, 140.289, 180.7678, 170.4259, 165.3269, 218.8059, 85.2115, 111.8302, 118.8276, 60.0, 138.9244, 140.0714, 188.0877, 134.2013, 86.4928, 125.6702, 120.3079, 145.9623, 53.0094, 184.6104, 170.4611, 174.5222, 93.3006, 59.2284, 111.6647, 105.5462, 46.4866, 122.3315, 179.3878, 100.02, 61.0328, 149.8332, 202.141, 88.0227, 125.8769, 145.8355, 129.9885, 70.0643, 155.2417, 99.4032, 135.4474, 139.7426, 91.7061, 50.2494, 65.8635, 74.6525, 135.0741, 124.2578, 174.1407, 253.744, 88.0227, 89.4707, 160.0312, 141.3966, 76.0066, 147.0272, 154.9322, 57.0789, 70.0071, 43.7379, 85.6154, 175.1485, 69.8713, 53.2353, 96.8762, 53.0, 213.8411, 141.0142, 79.6116, 128.316, 85.4927, 43.6005, 114.9348, 91.4112, 75.0, 48.8262, 83.9345, 94.1488, 51.8845, 106.1744, 103.0437, 45.2769, 130.6025, 109.8089, 31.241, 78.0897, 56.4004, 72.9178, 52.8867, 56.0803, 82.7103, 12.3693, 83.0241, 21.0238, 39.2938, 89.56, 30.4138, 141.3153, 181.1353, 35.9026, 31.0644, 44.8219, 43.8634, 163.0276, 24.7386, 219.5837, 132.0341, 108.4666, 131.5485, 154.1168, 81.0247, 81.3019, 126.7162, 113.8464, 202.1584, 123.7942, 52.0096, 175.9233, 123.1666, 66.0681, 84.1724, 66.2873, 63.3246, 60.208, 175.2084, 119.8541, 148.1418, 136.0772, 77.201, 76.4003, 199.542, 90.6091, 77.5242, 51.4782, 156.9235, 95.7131, 92.1954, 127.8828, 102.0833, 79.1581, 120.3412, 76.2168, 71.1758, 145.9897, 96.6488, 46.8722, 115.3126, 99.2018, 33.1059, 47.1699, 44.643, 37.7359, 51.0784, 43.6807, 50.9902, 90.5539, 72.9178, 144.0868, 99.5389, 38.6394, 72.0625
4, 474.0854, 317.9261, 381.1797, 262.2518, 244.4934, 253.5271, 221.6348, 131.6852, 6.0828, 127.4402, 156.2722, 173.6491, 84.0238, 226.1526, 101.9117, 89.5879, 90.4434, 180.3802, 173.4042, 125.2837, 99.1564, 100.6876, 207.4657, 94.0, 79.3095, 84.386, 169.6644, 171.8168, 154.6157, 64.405, 179.2456, 149.8032, 152.9575, 103.4843, 59.1692, 166.2438, 84.1487, 161.2203, 198.0631, 215.2301, 93.2309, 90.471, 117.4564, 131.856, 236.5967, 121.9262, 91.9239, 131.2402, 125.2198, 151.3275, 63.3482, 180.4882, 72.0, 103.6002, 129.2478, 154.4862, 159.8624, 164.7604, 72.8011, 88.3233, 105.603, 108.4666, 140.5205, 175.2826, 86.977, 39.8121, 115.8016, 114.7693, 117.4564, 152.6892, 114.2847, 187.3873, 88.6848, 65.307, 89.3588, 98.6154, 81.4678, 154.3017, 130.4301, 125.9365, 85.0706, 145.2481, 29.5296, 153.3884, 55.5428, 102.8397, 134.4693, 81.9878, 169.4521, 75.3923, 34.0, 66.1891, 125.3196, 77.1557, 127.122, 129.4179, 55.6597, 35.0, 22.2036, 45.2769, 127.2517, 89.3588, 73.0548, 79.3095, 91.3893, 97.5295, 37.1618, 38.5876, 53.1507, 23.4307, 181.4635, 131.2402, 79.0253, 12.6491, 123.6932, 84.5813, 20.6155, 6.3246, 42.638, 54.7449, 32.6497, 75.743, 85.8021, 163.8109, 37.5899, 93.3809, 126.1428, 206.5841, 100.0, 38.6264, 78.4092, 134.7294, 116.1077, 99.1564, 135.0592, 109.6586, 151.3473, 162.41, 101.789, 80.6226, 65.7951, 80.0625, 178.0253, 178.0112, 39.4588, 63.7887, 112.8938, 88.6848, 100.5684, 211.0474, 37.054, 113.6002, 139.8463, 81.6149, 16.2788, 47.5184, 96.0469, 126.1467, 170.845, 64.195, 67.2012, 41.5933, 90.7965, 60.3738, 35.9026, 144.6686, 61.5224, 77.1038, 148.1216, 68.9638, 102.8591, 125.7179, 43.8634, 44.1475, 100.2447, 26.1725, 46.9574, 57.3847, 81.5414, 4.4721
5, 365.4928, 417.8241, 342.0526, 271.68, 229.5844, 176.7088, 116.2497, 142.1724, 175.505, 114.4378, 159.0629, 196.0026, 149.8332, 153.2221, 119.8541, 177.5528, 248.3948, 148.297, 104.3887, 223.439, 184.9459, 107.7868, 94.8947, 232.2003, 171.5925, 250.122, 136.7041, 121.2023, 91.7606, 111.79, 77.4661, 185.809, 157.0796, 186.703, 168.3152, 137.6408, 229.3142, 190.4127, 97.0824, 96.9381, 229.1419, 115.8836, 128.082, 63.3877, 115.9483, 138.2208, 146.0308, 136.1249, 165.5295, 73.5731, 150.6552, 145.0414, 174.8657, 65.7951, 70.9366, 46.3249, 193.4994, 73.0821, 177.0028, 74.4312, 201.9926, 168.5853, 126.0357, 112.2586, 160.3309, 100.6876, 161.3196, 137.0, 96.1509, 145.8801, 103.7545, 75.1665, 113.6354, 85.2115, 102.1078, 46.6154, 55.0273, 66.4078, 54.5711, 84.1546, 111.4002, 58.8982, 92.0054, 44.7214, 115.434, 85.0941, 114.9826, 110.4355, 153.7335, 107.0747, 61.7171, 33.541, 74.8465, 134.8518, 158.6474, 60.0333, 32.28, 17.088, 109.1238, 56.0803, 68.0147, 48.8365, 68.942, 42.7551, 89.0225, 43.4626, 14.0, 9.2195, 106.0, 21.0, 56.2228, 96.1769, 44.7214, 161.1862, 123.5557, 57.28, 92.0869, 14.8661, 69.4622, 129.0736, 35.805, 43.1856, 37.1618, 86.6833, 71.8471, 69.6348, 46.6476, 89.493, 131.3659, 121.8072, 129.124, 83.0542, 57.28, 3.1623, 99.0808, 78.924, 91.0824, 37.054, 30.8058, 96.8814, 153.1535, 65.215, 111.162, 101.1781, 91.7878, 96.2549, 127.9453, 106.8925, 29.4279, 66.2193, 83.6002, 43.2897, 48.6004, 91.2195, 55.0091, 78.3135, 88.6397, 28.178, 10.0, 36.6742, 37.3363, 78.032, 44.2719, 91.5478, 40.4969, 67.4166, 31.3847, 60.2993, 157.2768, 49.6488, 124.3262, 17.2047, 43.4166, 85.1469, 126.0635, 90.9065, 26.4764, 118.8108, 49.8197, 89.7385
6, 441.9559, 342.7944, 303.661, 324.5304, 250.1699, 234.7765, 195.8979, 161.4001, 202.5883, 206.0728, 197.4487, 146.113, 95.462, 134.3168, 142.0035, 103.0776, 108.9036, 73.0821, 46.2277, 125.004, 186.9599, 230.0543, 150.0733, 223.647, 126.0873, 82.0, 149.4021, 150.3363, 61.6117, 161.5333, 146.3216, 200.4894, 164.7574, 32.0, 100.7224, 157.6483, 144.3087, 123.7942, 164.2011, 85.0882, 98.9798, 138.058, 100.6578, 128.9961, 61.6604, 75.743, 145.0, 211.2652, 158.3982, 35.0, 253.0316, 133.7535, 166.7693, 92.9139, 153.4438, 91.4112, 102.3914, 44.4072, 278.4978, 56.8507, 100.2098, 42.0119, 190.5203, 129.9577, 126.9055, 54.8179, 141.3542, 205.9126, 149.8833, 169.0, 119.9542, 221.9212, 91.4822, 176.4795, 82.4621, 39.4081, 77.0065, 53.9351, 155.3222, 142.4254, 141.1559, 90.8735, 152.2662, 164.56, 183.4121, 203.4207, 58.9406, 160.4307, 128.082, 34.4819, 138.2787, 51.6624, 86.5563, 113.5694, 130.5412, 155.9134, 143.1712, 97.7446, 151.0927, 93.3006, 90.7083, 64.4748, 128.082, 33.541, 58.3095, 70.7248, 78.2368, 14.7648, 97.0824, 119.4027, 56.921, 16.2788, 64.7611, 59.0931, 32.7567, 15.5242, 86.977, 62.1289, 102.8008, 80.8084, 31.0644, 95.4411, 93.086, 56.3205, 115.767, 71.8401, 87.7097, 69.9714, 79.196, 106.7942, 28.178, 104.0096, 84.1487, 18.4391, 83.8153, 121.0165, 98.6002, 29.5296, 59.9083, 92.1954, 75.0, 74.5252, 52.0, 122.0369, 26.3059, 79.712, 46.0435, 106.3814, 42.5441, 71.0282, 58.258, 89.8443, 79.3095, 68.469, 47.0106, 17.8045, 28.8617, 128.1405, 122.4827, 35.8469, 176.9209, 41.1461, 62.2977, 56.0892, 126.0357, 17.2627, 81.8841, 83.1925, 83.5703, 79.8812, 67.8012, 123.4585, 112.641, 45.2217, 34.4819, 60.8769, 90.1388, 83.8689, 141.1737, 99.925
7, 513.227, 366.9469, 277.7211, 223.0022, 205.548, 275.8786, 145.6606, 134.6291, 205.2048, 130.0346, 121.2642, 135.595, 112.0, 103.7738, 118.8024, 115.7325, 79.8311, 142.3692, 148.6775, 111.463, 155.029, 92.1358, 133.3754, 201.0622, 108.9082, 141.1984, 103.2327, 188.2233, 199.6246, 128.082, 109.6586, 232.4758, 167.9434, 44.4072, 220.4654, 168.3241, 119.5701, 23.0, 118.2286, 129.7998, 14.8661, 104.6566, 144.9, 102.0, 172.4181, 132.3782, 100.8811, 130.1768, 122.8007, 178.1348, 122.3806, 68.4471, 145.6709, 64.0703, 144.1804, 96.3846, 117.1751, 26.2488, 181.4718, 159.0503, 136.4991, 128.1444, 116.6919, 134.1119, 71.1758, 133.4541, 50.9902, 45.9674, 87.4643, 90.377, 142.706, 123.4909, 83.4326, 23.6008, 88.8369, 173.8074, 105.019, 119.5031, 163.8566, 72.0625, 146.8945, 27.6586, 106.4519, 79.0569, 28.2843, 59.5399, 94.4934, 89.8443, 100.6032, 84.7703, 137.2771, 101.8676, 94.3716, 164.8393, 122.5439, 25.7099, 99.1413, 55.7853, 84.8764, 84.4808, 82.28, 70.5762, 107.6151, 84.9706, 33.1361, 111.072, 58.7963, 62.3699, 133.9589, 62.0967, 150.9205, 114.4902, 102.4158, 20.1246, 89.56, 130.0, 86.093, 37.6563, 39.2173, 41.0488, 67.0, 101.5185, 163.4044, 65.3682, 30.0167, 115.9741, 35.0, 47.1275, 167.2603, 80.7217, 66.7308, 65.7647, 98.6154, 41.9762, 48.8467, 23.8537, 48.0104, 58.5918, 11.4018, 92.6553, 33.0151, 74.3303, 86.977, 19.2354, 21.3776, 86.539, 79.2591, 39.6232, 48.0416, 71.3863, 24.7588, 22.2036, 47.2969, 87.2812, 57.3062, 14.2127, 48.3735, 23.3452, 69.9214, 80.0562, 12.7279, 52.8867, 76.1643, 19.4165, 75.0067, 17.088, 61.6847, 61.8466, 46.8188, 86.267, 207.1183, 83.9345, 144.9034, 22.4722, 116.1077, 66.7083, 49.0918, 50.448, 98.6002, 72.2496
8, 381.1365, 367.1635, 301.9205, 207.1835, 196.6443, 227.4071, 138.7083, 120.0042, 111.234, 166.5173, 132.3065, 144.5164, 78.0064, 119.8207, 169.1892, 183.8314, 165.0485, 104.6614, 63.2851, 140.0643, 145.8801, 102.0784, 103.6195, 130.2306, 294.1598, 110.1136, 158.354, 93.086, 162.0031, 119.5701, 109.6586, 103.1601, 92.477, 123.8225, 114.6909, 179.0782, 124.1451, 248.3103, 142.0, 43.1856, 184.9378, 60.075, 100.2397, 61.0737, 77.1298, 123.2274, 200.6838, 104.3072, 116.4818, 228.8777, 112.1606, 123.0041, 72.7186, 143.405, 189.4888, 62.6259, 57.4891, 121.0165, 123.0447, 132.0984, 127.8828, 76.3217, 122.1966, 150.8807, 81.8413, 140.7587, 143.0035, 197.4968, 188.218, 133.7535, 55.7584, 113.1592, 160.2529, 93.4077, 117.618, 61.7414, 97.0464, 62.426, 111.1396, 44.0114, 76.9675, 95.1893, 136.6931, 55.6597, 126.5741, 86.093, 54.7083, 41.4367, 114.2147, 83.3847, 59.1354, 196.5731, 161.4094, 76.2168, 65.7647, 5.3852, 89.3588, 37.0135, 79.196, 99.925, 36.7696, 47.7074, 105.9056, 136.6199, 80.8022, 99.0808, 31.257, 37.855, 80.6226, 63.3246, 37.2022, 136.4185, 92.1954, 93.6803, 52.6972, 63.0635, 90.2441, 126.3725, 27.7308, 168.7602, 59.4138, 16.4924, 17.0294, 36.6742, 63.561, 107.7822, 25.4951, 14.7648, 37.108, 91.2688, 63.8122, 51.6236, 68.4763, 113.8859, 22.8473, 74.2428, 82.2192, 105.0762, 37.1618, 89.9889, 75.8222, 22.2036, 67.9559, 9.0554, 44.2719, 53.3104, 75.8024, 44.2041, 90.2718, 118.8486, 53.9351, 87.1321, 43.4626, 32.45, 60.5392, 32.249, 125.2557, 67.624, 59.6825, 104.7855, 5.831, 80.4114, 68.4105, 51.5461, 13.0, 60.208, 49.8197, 95.3362, 95.3415, 104.0192, 116.7262, 12.083, 42.2019, 82.0, 68.4251, 49.2443, 87.4586, 71.5542, 100.02, 119.5073
9, 503.3587, 273.7919, 280.7454, 314.331, 260.9464, 216.6679, 301.5725, 204.8927, 87.2067, 162.6038, 215.1116, 92.3147, 124.4588, 151.182, 40.6079, 150.2698, 150.7846, 133.9589, 208.6265, 239.207, 182.3952, 109.2932, 147.1224, 102.4597, 89.1067, 63.8905, 169.1449, 202.0718, 118.072, 184.1005, 100.439, 83.0963, 244.1311, 157.0796, 138.8416, 133.154, 173.9799, 144.0, 89.1403, 177.6345, 104.1729, 152.6434, 177.3415, 67.6757, 137.3827, 44.7214, 150.8642, 176.638, 103.0049, 149.6429, 59.0931, 153.3884, 166.1716, 176.1391, 195.7805, 154.0292, 166.3881, 88.8651, 144.1007, 64.7765, 126.9212, 149.2146, 143.5897, 74.7061, 112.8716, 114.6298, 192.6344, 47.4342, 114.2366, 58.5235, 76.2955, 44.1022, 85.7963, 120.5404, 168.3865, 143.2236, 35.171, 95.8801, 74.411, 80.9568, 132.2422, 131.7953, 135.1185, 102.4207, 81.2158, 32.1403, 47.8853, 100.6628, 36.1386, 122.2497, 146.1677, 105.6788, 89.0, 98.0, 146.8605, 73.0068, 177.9101, 146.1677, 64.846, 96.7988, 121.6553, 114.7258, 140.8581, 99.7647, 68.2495, 94.7629, 95.6922, 127.3892, 56.3205, 22.8035, 93.3006, 96.9381, 116.4989, 144.2567, 54.3415, 63.6003, 133.6899, 40.5216, 7.8102, 73.0821, 21.4009, 34.8281, 59.203, 21.0238, 71.1758, 36.4966, 116.211, 17.8885, 70.0, 39.8121, 48.9183, 30.6757, 76.8375, 50.6063, 47.1275, 61.3514, 55.2268, 73.2462, 14.0357, 141.439, 75.6042, 76.844, 103.846, 58.6941, 115.1564, 24.7588, 88.0909, 126.115, 58.3095, 38.8973, 66.5282, 24.5153, 28.2843, 14.8661, 56.4358, 28.0179, 65.3682, 81.5966, 167.0, 97.3088, 72.1803, 29.7321, 75.0, 64.6297, 89.1403, 97.1854, 45.1221, 55.9017, 64.0781, 71.5612, 87.0, 66.2873, 118.0889, 47.4131, 84.5281, 8.544, 77.8332, 41.1096, 151.4001, 111.018
10, 351.4555, 363.5726, 360.4497, 261.6582, 294.2448, 227.2202, 186.9358, 194.6998, 182.6609, 159.0126, 132.5028, 206.1965, 158.5213, 120.283, 165.4237, 132.8533, 173.2195, 84.9588, 138.9244, 131.5485, 186.1317, 40.2244, 135.4843, 136.5284, 185.7148, 94.4299, 137.5682, 197.9596, 71.218, 153.8343, 56.3028, 98.4784, 94.8736, 147.6652, 108.2959, 94.0213, 163.9909, 142.4675, 179.2345, 72.0139, 127.4245, 168.7602, 143.6941, 74.027, 165.5174, 111.018, 190.7092, 78.7464, 129.8692, 127.6127, 68.0955, 161.1521, 179.1201, 107.7033, 34.8855, 117.6435, 141.439, 168.0774, 115.2779, 41.2311, 94.0213, 81.3941, 244.1004, 110.6029, 87.3212, 84.006, 169.0473, 110.3857, 69.9714, 60.0333, 133.1841, 117.0684, 118.2962, 84.9294, 64.1405, 119.8541, 140.6023, 62.0081, 100.005, 117.4138, 169.8588, 74.7061, 139.0144, 64.7765, 64.405, 92.6553, 90.3383, 145.8012, 49.7393, 106.066, 70.4911, 54.5894, 55.3624, 128.0039, 27.4591, 80.2247, 85.7088, 66.2193, 135.3699, 81.0247, 34.5254, 86.0058, 147.2005, 66.5282, 118.8276, 132.2762, 117.2092, 20.6155, 58.0775, 132.0038, 94.5304, 163.6154, 82.4924, 136.18, 15.8114, 49.4975, 111.1261, 186.1021, 44.4185, 29.0, 40.0125, 41.0, 21.2603, 31.8277, 28.4605, 46.2709, 50.0899, 57.1402, 63.0317, 31.0644, 159.2231, 47.8853, 47.676, 52.4309, 132.0038, 82.28, 99.2975, 8.544, 30.8707, 121.0661, 109.7679, 82.3772, 52.7731, 129.4488, 64.9384, 85.4751, 64.6607, 144.0278, 92.6337, 87.4643, 30.1496, 53.6004, 69.3542, 19.2354, 60.8769, 65.0, 153.2221, 73.2393, 51.0, 33.0151, 57.6281, 111.8258, 16.6433, 178.3704, 104.3504, 45.5412, 15.2971, 62.0081, 95.6033, 108.8485, 106.9626, 34.4819, 40.0, 59.4811, 88.5268, 53.7122, 59.0085, 34.2053, 103.2327, 16.2788
